//ドン,,ファイル名,,
#SE,DONG,dong.wav,,
,,,,
//カツ,,,,
#SE,KA,ka.wav,,
,,,,
//風船破裂,,,,
#SE,BALLOON,balloon.wav,,
,,,,
//コンボ音声,,ファイル名,コンボ数,
#SE,COMBOVOICE,50.wav,50,
#SE,COMBOVOICE,100.wav,100,
#SE,COMBOVOICE,200.wav,200,
#SE,COMBOVOICE,300.wav,300,
#SE,COMBOVOICE,400.wav,400,
#SE,COMBOVOICE,500.wav,500,
#SE,COMBOVOICE,600.wav,600,
#SE,COMBOVOICE,tkds_combo700pst.wav,700,
#SE,COMBOVOICE,tkds_combo800pst.wav,800,
#SE,COMBOVOICE,tkds_combo900pst.wav,900,
#SE,COMBOVOICE,tkds_combo1000pst.wav,1000,
#SE,COMBOVOICE,tkds_combo2000pst.wav,2000,
#SE,COMBOVOICE,tkds_combo3000pst.wav,3000,
#SE,COMBOVOICE,tkds_combo4000pst.wav,4000,
#SE,COMBOVOICE,tkds_combo5000pst.wav,5000,
#SE,COMBOVOICE,tkds_combo6000pst.wav,6000,
#SE,COMBOVOICE,tkds_combo7000pst.wav,7000,
#SE,COMBOVOICE,tkds_combo8000pst.wav,8000,
#SE,COMBOVOICE,tkds_combo9000pst.wav,9000,
//以降必要数だけ増やしていく,,,,


,,,,
,,,,
//フルコンボ音声,,ファイル名,(未使用),最後の音符からの経過時間(ms)
#SE,FULLCOMBOVOICE,fullcombo.wav,,800
